Item;Smu1_V;Smu1_I
254;0,479999989;5,1973E-07
255;0,469999999;5,06061E-07
256;0,460000008;4,89666E-07
257;0,449999988;4,69923E-07
258;0,439999998;4,60164E-07
259;0,430000007;4,25254E-07
260;0,419999987;4,00466E-07
261;0,409999996;3,7271E-07
262;0,400000006;3,3446E-07
263;0,389999986;2,99004E-07
264;0,379999995;2,67429E-07
265;0,370000005;2,21551E-07
266;0,360000014;1,77258E-07
267;0,349999994;1,36114E-07
268;0,340000004;9,3365E-08
269;0,330000013;6,155E-08
270;0,319999993;3,49655E-08
271;0,310000002;1,28185E-08
272;0,300000012;-9,09911E-09
273;0,289999992;-2,53725E-08
274;0,280000001;-3,54158E-08
275;0,270000011;-4,29303E-08
276;0,25999999;-4,86047E-08
277;0,25;-5,13053E-08
278;0,239999995;-7,32263E-08
279;0,230000004;-5,49078E-08
280;0,219999999;-5,62113E-08
281;0,209999993;-6,14292E-08
282;0,200000003;-7,56762E-08
283;0,189999998;-7,44884E-08
284;0,180000007;-6,99602E-08
285;0,170000002;-7,83129E-08
286;0,159999996;-7,11002E-08
287;0,150000006;-8,84671E-08
288;0,140000001;-8,87985E-08
289;0,129999995;-9,16438E-08
290;0,119999997;-9,916E-08
291;0,109999999;-1,1064E-07
292;0,100000001;-1,11364E-07
293;0,090000004;-1,20483E-07
294;0,079999998;-1,29277E-07
295;0,07;-1,36139E-07
296;0,059999999;-1,55271E-07
297;0,050000001;-1,59958E-07
298;0,039999999;-1,70724E-07
299;0,029999999;-1,87947E-07
300;0,02;-2,10431E-07
301;0,01;-2,21544E-07
302;0;-2,31689E-07
303;-0,01;-2,74416E-07
304;-0,02;-2,9296E-07
305;-0,029999999;-3,20129E-07
306;-0,039999999;-3,51345E-07
307;-0,050000001;-3,89922E-07
308;-0,059999999;-4,2713E-07
309;-0,07;-4,68824E-07
310;-0,079999998;-5,1272E-07
311;-0,090000004;-5,65376E-07
312;-0,100000001;-6,2993E-07
313;-0,109999999;-6,89704E-07
314;-0,119999997;-7,63172E-07
315;-0,129999995;-8,42584E-07
316;-0,140000001;-9,1187E-07
317;-0,150000006;-9,99664E-07
318;-0,159999996;-1,08346E-06
319;-0,170000002;-1,17912E-06
320;-0,180000007;-1,28714E-06
321;-0,189999998;-1,40353E-06
322;-0,200000003;-1,51885E-06
323;-0,209999993;-1,64319E-06
324;-0,219999999;-1,77171E-06
325;-0,230000004;-1,90026E-06
326;-0,239999995;-2,04163E-06
327;-0,25;-2,18128E-06
328;-0,25999999;-2,33065E-06
329;-0,270000011;-2,48521E-06
330;-0,280000001;-2,64001E-06
331;-0,289999992;-2,80657E-06
332;-0,300000012;-2,97839E-06
333;-0,310000002;-3,15773E-06
334;-0,319999993;-3,34875E-06
335;-0,330000013;-3,55387E-06
336;-0,340000004;-3,78462E-06
