item	Smu1_V(1)(1)	Smu1_I(1)(1)
331	-0,289999992	-2,58737E-06
332	-0,300000012	-2,74627E-06
333	-0,310000002	-2,91348E-06
334	-0,319999993	-3,08408E-06
335	-0,330000013	-3,26122E-06
336	-0,340000004	-3,44882E-06
337	-0,349999994	-3,64162E-06
338	-0,360000014	-3,84617E-06
339	-0,370000005	-4,06241E-06
340	-0,379999995	-4,29276E-06
341	-0,389999986	-4,54206E-06
342	-0,400000006	-4,80112E-06
343	-0,409999996	-5,06764E-06
344	-0,419999987	-5,35236E-06
345	-0,430000007	-5,64981E-06
346	-0,439999998	-5,95447E-06
347	-0,449999988	-6,26618E-06
348	-0,460000008	-6,59442E-06
349	-0,469999999	-6,93002E-06
350	-0,479999989	-7,27536E-06
351	-0,49000001	-7,61642E-06
352	-0,5	-7,96397E-06
353	-0,50999999	-8,3237E-06
354	-0,519999981	-8,68425E-06
355	-0,529999971	-9,04277E-06
356	-0,540000021	-9,39326E-06
357	-0,550000012	-9,73103E-06
358	-0,560000002	-1,0075E-05
359	-0,569999993	-1,04072E-05
360	-0,579999983	-1,06956E-05
361	-0,589999974	-1,10417E-05
362	-0,600000024	-1,13977E-05
363	-0,610000014	-1,17561E-05
364	-0,620000005	-1,21132E-05
365	-0,629999995	-1,24623E-05
366	-0,639999986	-1,28151E-05
367	-0,649999976	-1,31809E-05
368	-0,660000026	-1,35354E-05
369	-0,670000017	-1,39232E-05
370	-0,680000007	-1,42252E-05
371	-0,689999998	-1,45686E-05
372	-0,699999988	-1,49095E-05
373	-0,709999979	-1,5255E-05
374	-0,720000029	-1,55923E-05
375	-0,730000019	-1,59274E-05
376	-0,74000001	-1,62612E-05
377	-0,75	-1,65906E-05
378	-0,75999999	-1,69261E-05
379	-0,769999981	-1,72639E-05
380	-0,779999971	-1,75867E-05
381	-0,790000021	-1,79115E-05
382	-0,800000012	-1,82371E-05
383	-0,810000002	-1,8564E-05
384	-0,819999993	-1,88901E-05
385	-0,829999983	-1,92067E-05
386	-0,839999974	-1,9509E-05
387	-0,850000024	-1,98535E-05
388	-0,860000014	-2,01934E-05
389	-0,870000005	-2,05183E-05
390	-0,879999995	-2,08372E-05
391	-0,889999986	-2,11583E-05
392	-0,899999976	-2,14616E-05
393	-0,910000026	-2,1782E-05
394	-0,920000017	-2,21204E-05
395	-0,930000007	-2,24672E-05
396	-0,939999998	-2,28065E-05
397	-0,949999988	-2,31767E-05
398	-0,959999979	-2,36016E-05
399	-0,970000029	-2,40815E-05
400	-0,980000019	-2,45862E-05
401	-0,99000001	-2,5127E-05
402	-1	-2,57215E-05
